💓咪咕央视,#genre#
CCTV1,http://117.72.194.224:656/zb.php?id=cctv1
CCTV2,http://117.72.194.224:656/zb.php?id=cctv2
CCTV3,http://117.72.194.224:656/zb.php?id=cctv3
CCTV4,http://117.72.194.224:656/zb.php?id=cctv4
CCTV4a,http://117.72.194.224:656/zb.php?id=cctv4a
CCTV4o,http://117.72.194.224:656/zb.php?id=cctv4o
CCTV5,http://goo.bkpcp.top/mg/cctv5
CCTV5+,http://goo.bkpcp.top/mg/cctv5p
CCTV6,http://117.72.194.224:656/zb.php?id=cctv6
CCTV7,http://117.72.194.224:656/zb.php?id=cctv7
CCTV8,http://117.72.194.224:656/zb.php?id=cctv8
CCTV9,http://117.72.194.224:656/zb.php?id=cctv9
CCTV10,http://117.72.194.224:656/zb.php?id=cctv10
CCTV11,http://117.72.194.224:656/zb.php?id=cctv11
CCTV12,http://117.72.194.224:656/zb.php?id=cctv12
CCTV13,http://117.72.194.224:656/zb.php?id=cctv13
CCTV14,http://117.72.194.224:656/zb.php?id=cctv14
CCTV15,http://117.72.194.224:656/zb.php?id=cctv15
CCTV17,http://117.72.194.224:656/zb.php?id=cctv17
CCTV发现之旅,http://117.72.194.224:656/zb.php?id=fxzl
CCTV老故事,http://117.72.194.224:656/zb.php?id=lgs
CCTV中学生,http://117.72.194.224:656/zb.php?id=zxs
CGTN,http://117.72.194.224:656/zb.php?id=cgtn
CGTN纪录,http://117.72.194.224:656/zb.php?id=cgtnjl
CCTV西班牙语,http://117.72.194.224:656/zb.php?id=cgtne
CCTV法语,http://117.72.194.224:656/zb.php?id=cgtnf
CCTV阿拉伯语,http://117.72.194.224:656/zb.php?id=cgtna
CCTV俄语,http://117.72.194.224:656/zb.php?id=cgtnr
熊猫01高清,http://117.72.194.224:656/zb.php?id=xmpd
熊猫1,http://117.72.194.224:656/zb.php?id=xm1
熊猫2,http://117.72.194.224:656/zb.php?id=xm2
熊猫3,http://117.72.194.224:656/zb.php?id=xm3
熊猫4,http://117.72.194.224:656/zb.php?id=xm4
熊猫5,http://117.72.194.224:656/zb.php?id=xm5
熊猫6,http://117.72.194.224:656/zb.php?id=xm6
熊猫7,http://117.72.194.224:656/zb.php?id=xm7
熊猫8,http://117.72.194.224:656/zb.php?id=xm8
熊猫9,http://117.72.194.224:656/zb.php?id=xm9
熊猫10,http://117.72.194.224:656/zb.php?id=xm10
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV2,http://goo.bkpcp.top/mg/cctv2
CCTV3,http://goo.bkpcp.top/mg/cctv3
CCTV4,http://goo.bkpcp.top/mg/cctv4
CCTV6,http://goo.bkpcp.top/mg/cctv6
CCTV7,http://goo.bkpcp.top/mg/cctv7
CCTV8,http://goo.bkpcp.top/mg/cctv8
CCTV9,http://goo.bkpcp.top/mg/cctv9
CCTV10,http://goo.bkpcp.top/mg/cctv10
CCTV11,http://goo.bkpcp.top/mg/cctv11
CCTV12,http://goo.bkpcp.top/mg/cctv12
CCTV13,http://goo.bkpcp.top/mg/cctv13
CCTV14,http://goo.bkpcp.top/mg/cctv14
CCTV15,http://goo.bkpcp.top/mg/cctv15
CCTV17,http://goo.bkpcp.top/mg/cctv17
中央新影-发现之旅,http://goo.bkpcp.top/mg/fxzl
中央新影-老故事,http://goo.bkpcp.top/mg/lgs
中央新影-中学生,http://goo.bkpcp.top/mg/zxs
CGTN纪录,http://goo.bkpcp.top/mg/cgtnjl
CGTN西语,http://goo.bkpcp.top/mg/cgtne
CGTN阿语,http://goo.bkpcp.top/mg/cgtna
CGTN法语,http://goo.bkpcp.top/mg/cgtnf
CGTN俄语,http://goo.bkpcp.top/mg/cgtnr
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV1,http://117.72.194.224:655/zb.php?id=cctv1
CCTV2,http://117.72.194.224:655/zb.php?id=cctv2
CCTV3,http://117.72.194.224:655/zb.php?id=cctv3
CCTV4,http://117.72.194.224:655/zb.php?id=cctv4
CCTV4a,http://117.72.194.224:655/zb.php?id=cctv4a
CCTV4o,http://117.72.194.224:655/zb.php?id=cctv4o
CCTV5,http://goo.bkpcp.top/mg/cctv5
CCTV5+,http://goo.bkpcp.top/mg/cctv5p
CCTV6,http://117.72.194.224:655/zb.php?id=cctv6
CCTV7,http://117.72.194.224:655/zb.php?id=cctv7
CCTV8,http://117.72.194.224:655/zb.php?id=cctv8
CCTV9,http://117.72.194.224:655/zb.php?id=cctv9
CCTV10,http://117.72.194.224:655/zb.php?id=cctv10
CCTV11,http://117.72.194.224:655/zb.php?id=cctv11
CCTV12,http://117.72.194.224:655/zb.php?id=cctv12
CCTV13,http://117.72.194.224:655/zb.php?id=cctv13
CCTV14,http://117.72.194.224:655/zb.php?id=cctv14
CCTV15,http://117.72.194.224:655/zb.php?id=cctv15
CCTV17,http://117.72.194.224:655/zb.php?id=cctv17
CCTV发现之旅,http://117.72.194.224:655/zb.php?id=fxzl
CCTV老故事,http://117.72.194.224:655/zb.php?id=lgs
CCTV中学生,http://117.72.194.224:655/zb.php?id=zxs
CGTN,http://117.72.194.224:655/zb.php?id=cgtn
CGTN纪录,http://117.72.194.224:655/zb.php?id=cgtnjl
CCTV西班牙语,http://117.72.194.224:655/zb.php?id=cgtne
CCTV法语,http://117.72.194.224:655/zb.php?id=cgtnf
CCTV阿拉伯语,http://117.72.194.224:655/zb.php?id=cgtna
CCTV俄语,http://117.72.194.224:655/zb.php?id=cgtnr
熊猫01高清,http://117.72.194.224:655/zb.php?id=xmpd
熊猫1,http://117.72.194.224:655/zb.php?id=xm1
熊猫2,http://117.72.194.224:655/zb.php?id=xm2
熊猫3,http://117.72.194.224:655/zb.php?id=xm3
熊猫4,http://117.72.194.224:655/zb.php?id=xm4
熊猫5,http://117.72.194.224:655/zb.php?id=xm5
熊猫6,http://117.72.194.224:655/zb.php?id=xm6
熊猫7,http://117.72.194.224:655/zb.php?id=xm7
熊猫8,http://117.72.194.224:655/zb.php?id=xm8
熊猫9,http://117.72.194.224:655/zb.php?id=xm9
熊猫10,http://117.72.194.224:655/zb.php?id=xm10

💓咪咕卫视,#genre#

陕西卫视,http://117.72.194.224:656/zb.php?id=sxws
河南卫视,http://117.72.194.224:656/zb.php?id=hnws
江西卫视,http://117.72.194.224:656/zb.php?id=jxws
江苏卫视,http://117.72.194.224:656/zb.php?id=jsws
广东卫视,http://117.72.194.224:656/zb.php?id=gdws
大湾区卫视,http://117.72.194.224:656/zb.php?id=dwqws
东方卫视,http://117.72.194.224:656/zb.php?id=dfws
湖北卫视,http://117.72.194.224:656/zb.php?id=hubws
吉林卫视,http://117.72.194.224:656/zb.php?id=jlws
青海卫视,http://117.72.194.224:656/zb.php?id=qhws
海南卫视,http://117.72.194.224:656/zb.php?id=hinws
东方影视,http://117.72.194.224:656/zb.php?id=dfys
上海新闻综合,http://117.72.194.224:656/zb.php?id=shxwzh
上海第一财经,http://117.72.194.224:656/zb.php?id=dycj
江苏城市,http://117.72.194.224:656/zb.php?id=jscs
江苏综艺,http://117.72.194.224:656/zb.php?id=jszy
江苏影视,http://117.72.194.224:656/zb.php?id=jsys
江苏公共新闻,http://117.72.194.224:656/zb.php?id=jsggxw
江苏国际,http://117.72.194.224:656/zb.php?id=jsgj
江苏教育,http://117.72.194.224:656/zb.php?id=jsjy
江苏体育休闲,http://117.72.194.224:656/zb.php?id=jstyxx
优漫卡通,http://117.72.194.224:656/zb.php?id=ymkt
南京新闻综合,http://117.72.194.224:656/zb.php?id=njxwzh
南京教科,http://117.72.194.224:656/zb.php?id=njkj
南京十八,http://117.72.194.224:656/zb.php?id=njsb
淮安新闻综合,http://117.72.194.224:656/zb.php?id=haxwzh
连云港新闻综合,http://117.72.194.224:656/zb.php?id=lygxwzh
吉林卫视,http://117.72.194.224:656/zb.php?id=jlws
青海卫视,http://117.72.194.224:656/zb.php?id=qhws
陕西卫视,http://117.72.194.224:656/zb.php?id=sxws
河南卫视,http://117.72.194.224:656/zb.php?id=hnws
湖北卫视,http://117.72.194.224:656/zb.php?id=hubws
江苏卫视,http://117.72.194.224:656/zb.php?id=jsws
大湾区卫视,http://117.72.194.224:656/zb.php?id=dwqws
海南卫视,http://117.72.194.224:656/zb.php?id=hinws
乡村振兴,http://117.72.194.224:656/zb.php?id=xczx
幸福中国年,http://117.72.194.224:656/zb.php?id=xfzgn
东方卫视,http://goo.bkpcp.top/mg/dfws
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
