央视超清,#genre#
CCTV1,http://223.110.241.139:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ
CCTV2,http://223.110.241.139:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ
CCTV3,http://223.110.241.139:6610/gitv/live1/G_CCTV-3-CQ/G_CCTV-3-CQ
CCTV4,http://223.110.241.139:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ
CCTV5,http://223.110.241.139:6610/gitv/live1/G_CCTV-5-CQ/G_CCTV-5-CQ
CCTV5+,http://223.110.241.139:6610/gitv/live1/G_CCTV-5PLUS-CQ/G_CCTV-5PLUS-CQ
CCTV6,http://223.110.241.139:6610/gitv/live1/G_CCTV-6-CQ/G_CCTV-6-CQ
CCTV7,http://223.110.241.139:6610/gitv/live1/G_CCTV-7-CQ/G_CCTV-7-CQ
CCTV8,http://223.110.241.139:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ
CCTV9,http://223.110.241.139:6610/gitv/live1/G_CCTV-9-CQ/G_CCTV-9-CQ
CCTV10,http://223.110.241.139:6610/gitv/live1/G_CCTV-10-CQ/G_CCTV-10-CQ
CCTV11,http://223.110.241.139:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ
CCTV12,http://223.110.241.139:6610/gitv/live1/G_CCTV-12-CQ/G_CCTV-12-CQ
CCTV13,http://223.110.241.139:6610/gitv/live1/G_CCTV-13-CQ/G_CCTV-13-CQ
CCTV14,http://223.110.241.139:6610/gitv/live1/G_CCTV-14-CQ/G_CCTV-14-CQ
CCTV15,http://223.110.241.139:6610/gitv/live1/G_CCTV-15-CQ/G_CCTV-15-CQ
CCTV16,http://223.110.241.139:6610/gitv/live1/G_CCTV-16-CQ/G_CCTV-16-CQ
CCTV17,http://223.110.241.139:6610/gitv/live1/G_CCTV-17-CQ/G_CCTV-17-CQ
央视高清,#genre#
CCTV1,http://223.110.241.139:6610/gitv/live1/G_CCTV-1-HQ/G_CCTV-1-HQ
