


山东频道,#genre#

山东齐鲁,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=qlpd

山东综艺,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=yxzy

山东生活,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=yxsh

山东文旅,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=yxys

山东农科,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=nkpd

山东体育,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=typd
  

江西频道,#genre#
江西卫视,http://www.kaniptv.cn/江西1.php?id=jxws
江西都市,http://www.kaniptv.cn/江西1.php?id=jxds
江西经济生活,http://www.kaniptv.cn/江西1.php?id=jxjs
江西公共农业,http://www.kaniptv.cn/江西1.php?id=jxgg
江西少儿,http://www.kaniptv.cn/江西1.php?id=jxse
江西新闻,http://www.kaniptv.cn/江西1.php?id=jxxw
江西陶瓷,http://www.kaniptv.cn/江西1.php?id=jxtc
风尚购物,http://www.kaniptv.cn/江西1.php?id=fsgq
山西频道,#genre#
山西卫视,http://www.kaniptv.cn/山西1.php?id=q8RVWgs
山西经济,http://www.kaniptv.cn/山西1.php?id=4j01KWX
山西影视,http://www.kaniptv.cn/山西1.php?id=Md571Kv
山西社会与法治,http://www.kaniptv.cn/山西1.php?id=p4y5do9
山西文体生活,http://www.kaniptv.cn/山西1.php?id=Y00Xezi
山西黄河,http://www.kaniptv.cn/山西1.php?id=lce1mC4
太原新闻综合,http://www.kaniptv.cn/山西1.php?id=customa
阳泉新闻综合,http://www.kaniptv.cn/山西1.php?id=customc
长治新闻综合,http://www.kaniptv.cn/山西1.php?id=customd
晋城新闻综合,http://www.kaniptv.cn/山西1.php?id=custome
朔州新闻综合,http://www.kaniptv.cn/山西1.php?id=customf
晋中综合,http://www.kaniptv.cn/山西1.php?id=customg
运城新闻综合,http://www.kaniptv.cn/山西1.php?id=customh
忻州综合,http://www.kaniptv.cn/山西1.php?id=customi
临汾新闻综合,http://www.kaniptv.cn/山西1.php?id=customj
吕梁新闻综合,http://www.kaniptv.cn/山西1.php?id=customk

内蒙频道,#genre#
内蒙古卫视,http://www.kaniptv.cn/aa/内蒙.php?id=nmws
    内蒙古蒙古语卫视,http://www.kaniptv.cn/aa/内蒙.php?id=nmmyws
    内蒙古新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=nmxwzh
    内蒙古经济生活,http://www.kaniptv.cn/aa/内蒙.php?id=nmjjsh
    内蒙古少儿频道,http://www.kaniptv.cn/aa/内蒙.php?id=nmse
    内蒙古文体娱乐,http://www.kaniptv.cn/aa/内蒙.php?id=nmwtyl
    内蒙古农牧频道,http://www.kaniptv.cn/aa/内蒙.php?id=nmnm
    内蒙古蒙古语文化,http://www.kaniptv.cn/aa/内蒙.php?id=nmwh
    呼和浩特新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=hhht1
    锡林郭勒,http://www.kaniptv.cn/aa/内蒙.php?id=xlgl1
    阿拉善新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=als1
    巴彦淖尔,http://www.kaniptv.cn/aa/内蒙.php?id=byle1
    鄂尔多斯,http://www.kaniptv.cn/aa/内蒙.php?id=erds1
    赤峰新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=cf1
    通辽新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=tl1
   乌兰察布,http://www.kaniptv.cn/aa/内蒙.php?id=wlcb1
   乌海新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=wh1
   呼伦贝尔新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=hlbe1
   兴安新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=xa1
   包头新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=bt1
湖南频道,#genre#
湖南经视,http://nn.7x9d.cn/地方台8563/湖南2.php?id=280
湖南电影,http://nn.7x9d.cn/地方台8563/湖南2.php?id=221
湖南都市,http://nn.7x9d.cn/地方台8563/湖南2.php?id=346
湖南电视剧,http://nn.7x9d.cn/地方台8563/湖南2.php?id=484
湖南爱晚,http://nn.7x9d.cn/地方台8563/湖南2.php?id=261
湖南国际,http://nn.7x9d.cn/地方台8563/湖南2.php?id=229
湖南娱乐,http://nn.7x9d.cn/地方台8563/湖南2.php?id=344
快乐购,http://nn.7x9d.cn/地方台8563/湖南2.php?id=267
